book_it419000	Tale of the Curly-Bearded Swordsman	七夕段红儿剧情四选一赠送	True	MixedStudy	A book gifted by the Tea Master, told the story of three swordsmen in the Tang Dynasty.	PropsCategory419	2	re804it419000	it419000	0	None	0	Don't understimate this book，it may have a profound truth.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_xinfa102yangxin	Mantra of Cultivating the Heart	四艺大会探索要素奖励，21回合	True	MantraBook	A Daoist way of cultivating one's internal energy. Practitioner is required to keep a constant clear state of mind.	PropsCategory418	1	re804xinfa102	xinfa102yangxin	0	None	0	Since it is your own book，find a seat to read by yourself.	If you are not illiterate，then there is no reason to not read this book! unless...	m607010000	m607010001
book_xinfa103Tianhai	Mantra of the Heaven and Ocean	夏校后藏经阁开放阅读，30回合	True	MantraBook	An internal arts of Divine Wind Temple. It inspired by the turbulent momentum of Mount Huang's cloud sea. Clouds as breathe and mountains as bodies.	PropsCategory418	2	re804xinfa103	xinfa103Tianhai	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 149}  ], 0} 	Total basic stats up to 150	0	Divine Wind Temple's Inner Style method，which focus on relieving impact force and defusing enemy's Qi，like awaiting for arrival. But keeping defence won't help much in a real battle. Think about how to use it.	Humph ... Chu Tianbi maybe willing to let you pass the Spring Exam，but I won't be satisfied with your current unwatchable cultivation. Go back and practice more.	m607010000	m607010001
book_xinfa104Wuchan	Mantra of the Martial Attainment	夏校后藏经阁开放阅读，30回合	True	MantraBook	An internal arts of Earth Dragon Sect. It says the founder master of Earth Dragon Sect dreamed about the Great Emperor Dongyue and had his verbal guidance to make this method. When running this inner style, the strength will fully reach arms and legs, makes the user firm and unyielding.	PropsCategory418	2	re804xinfa104	xinfa104Wuchan	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 149}  ], 0} 	Total basic stats up to 150	0	Earth Dragon Sect's Inner Style method，which claim to have both offensive and defensive skills，but in fact they only scratched a little bit of fur，suspended in midair. "Common people's style." That is an accurate description.	Humph ... Chu Tianbi maybe willing to let you pass the Spring Exam，but I won't be satisfied with your current unwatchable cultivation. Go back and practice more.	m607010000	m607010001
book_xinfa105Danhe	Crane Song	夏校后藏经阁开放阅读，30回合	True	MantraBook	An internal arts of Flaming Cloud Cave fused the crane's independence and calmness into this method. It's useful to clear the mind and tranquilize the spirit to take the quiet approach.	PropsCategory418	2	re804xinfa105	xinfa105Danhe	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 149}  ], 0} 	Total basic stats up to 150	0	Although this method of Flaming Cloud Cave can take direct advantage，it is not enough to be flexible and adaptable. As a foundation of Inner Styles，I'd say just OK.	Humph ... Chu Tianbi maybe willing to let you pass the Spring Exam，but I won't be satisfied with your current unwatchable cultivation. Go back and practice more.	m607010000	m607010001
book_xinfa106Henwer	Sutra of the Moon Lady	夏校后藏经阁开放阅读，30回合	True	MantraBook	An inner style of Branch Family of the Sun Moon Mountain Villa. Created by a branch disciple under Zhong Xu who inspired by the posture of Chang'e flying to the moon.	PropsCategory418	2	re804xinfa106	xinfa106Henwer	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 149}  ], 0} 	Total basic stats up to 150	0	Hmm，Chang'e's posture ... It's somewhat useful to lightly strike from the back，but calling it "Moon chasing"，that's too much.	Humph ... Chu Tianbi maybe willing to let you pass the Spring Exam，but I won't be satisfied with your current unwatchable cultivation. Go back and practice more.	m607010000	m607010001
book_xinfa107Longchen	The Military Book of Longcheng	夏校后藏经阁开放阅读，30回合	True	MantraBook	Northern Flame Guard's internal art, which has been honed in military battles for a long time, generates a natural military might that is as formidable as the enemy.	PropsCategory418	2	re804xinfa107	xinfa107Longchen	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 249}  ], 0} 	Total basic stats up to 250	0	Heh... This internal art of the Northern Flame Guard would be more like a self-hypnosis than method of exercising qi，take it to strengthen your courage.	I don't know how you kept yourself alive under that Gong guy with your current cultivation. But if you want to learn this skill, get back to the training ground and spend several more months.	m607010000	m607010001
book_xinfa108Jiugong	Method of the Nine Grid Pattern	夏校后藏经阁开放阅读，30回合	True	MantraBook	Hall of Heavenly Secrets's internal arts, practitioners always divide their surroundings into the position of the Nine Palaces, so as to estimate the enemy's and offensive and defensive potential, and seek for gaps and attacks.	PropsCategory418	2	re804xinfa108	xinfa108Jiugong	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 249}  ], 0} 	Total basic stats up to 250	0	Look at it，three rows and three columns，and the sum of the diagonals is fifteen. If you apply it to the offensive and defensive posture of the human body，you can accurately calculate the strength and flaws of each shot.	I don't know how you kept yourself alive under that Gong guy with your current cultivation. But if you want to learn this skill, get back to the training ground and spend several more months.	m607010000	m607010001
book_xinfa109Longyien	The Sutra of Longyan Sect	夏校后藏经阁开放阅读，30回合	True	MantraBook	The internal art of Iron Temple of Spiritual Dragon, visualize the dragon waterfall spirit rock of Yandang Mountain, meditate on the forging heart, and develop into a mind that can sense the murderous flaws of the whole body.	PropsCategory418	2	re804xinfa109	xinfa109Longyien	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 249}  ], 0} 	Total basic stats up to 250	0	Although Longqiu and Lingyan of Yandang Mountain have never been there in person，seeing the so-called sabre curtain is like a rock，the method of lifting Qi and cutting waterfalls is quite impressive.	I don't know how you kept yourself alive under that Gong guy with your current cultivation. But if you want to learn this skill, get back to the training ground and spend several more months.	m607010000	m607010001
book_xinfa110Liyuan	The Art of Opera	夏校后藏经阁开放阅读，30回合	True	MantraBook	The Butterfly Troupe internal art uses ancient hundred-play moves to exercise breathing and maneuvering body skills, and consistently uses various dizzying moves.	PropsCategory418	2	re804xinfa110	xinfa110Liyuan	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 249}  ], 0} 	Total basic stats up to 250	0	The kung fu of these actors has some merits in physical methods and moves that confuse people's eyes and ears，but that's it.	I don't know how you kept yourself alive under that Gong guy with your current cultivation. But if you want to learn this skill, get back to the training ground and spend several more months.	m607010000	m607010001
book_xinfa201zhuyue	Moon Chaser	冬校奖励	True	MantraBook	Unique skill of Sky Stealer Fort. Improves internal circulation and enhance agility. Allows one to walk jump over ceilings or walk on roof with ease. The Fort Master, Liang Junzhu is highly skilled in it.	PropsCategory418	2	re804xinfa201	xinfa201zhuyue	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 399}  ], 0} 	Total basic stats up to 400	0	Well，the only merits those thieves have would be their Feathered Body skills.	What exactly blurred that thief's eyes for him to let you practice this skill? Take it back!	m607010000	m607010001
book_xinfa202shanyujiangchao	Song of Rains and Tides	冬校奖励	True	MantraBook	Unique skill of Xia Pavillion, named after the Northern Song Dynasty Poet, Su Shi's poem. One is required to clear him mind when practicing.	PropsCategory418	2	re804xinfa202	xinfa202shanyujiangchao	{ "LogicalNode" : [ { "CheckPlayerMantraLevel" : 0, 6, "xinfa101wanglu"}  ], 0} 	Overlooking Mount Lu reaches Lv 7	0	Lushan Floating Rain Rises Tide... Hmph... maybe you can understand it.	No matter how excellent you performed in Winter Exam，the lack is still the lack. Go back and practice more.	m607010000	m607010001
book_xinfa303xiaoxiangshuiyun	Mist and Clouds over River Xiaoxiang	四艺大会2，51回合，琴第1名奖励	True	MantraBook	An internal art inspired by the Zither piece Rivers of Xiaoxiang.	PropsCategory418	1	re804xinfa303	xinfa303xiaoxiangshuiyun	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa304tianyuance	The Book of Heavenly Union	四艺大会2，51回合，棋第1名奖励	True	MantraBook	A successful practioner has the first mover advantage, yet gained with considerable risks.	PropsCategory418	1	re804xinfa304	xinfa304tianyuance	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa305sangluanjue	Mayhem	四艺大会2，51回合，书法第1名奖励	True	MantraBook	Named after the famed Jin Dynasty Calligrapher, Wang Xizhi's work San Luan Tie (Note of distress and indignation).	PropsCategory418	1	re804xinfa305	xinfa305sangluanjue	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa306dafupicun	Domination of the Might	四艺大会2，51回合，画第1名奖励	True	MantraBook	A martial skill inspired by a technique in ink painting.	PropsCategory418	1	re804xinfa306	xinfa306dafupicun	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa701baiheyice	Tactics of Mainpulating the Chess	棋心法	True	MantraBook	A remnants of Master Gui Gu's Go book, talks about Go strategies and can be practiced as a mantra.	PropsCategory418	1	re804xinfa701	xinfa701baiheyice	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa702liuhuiqinxin	Song of Flowing Melodies	琴心法	True	MantraBook	A text collection of Zither piece of antiquity, with commentaries by generations of musicians.	PropsCategory418	1	re804xinfa702	xinfa702liuhuiqinxin	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa702liuhuiqinxin01	Song of Flowing Melodies	琴心法	True	MantraBook	A text collection of Zither piece of antiquity, with commentaries by generations of musicians.	PropsCategory418	2	re804xinfa702	xinfa702liuhuiqinxin	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa703morangong	Mantra of Ink Dye	书心法	True	MantraBook	An internal art inspired by running syle calligraphies with commentaries by generations of practitioners.	PropsCategory418	1	re804xinfa703	xinfa703morangong	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa703morangong01	Mantra of Ink Dye	书心法	True	MantraBook	An internal art inspired by running syle calligraphies with commentaries by generations of practitioners.	PropsCategory418	2	re804xinfa703	xinfa703morangong	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa704wushengshijue	The Sutra of Scilent Poetry	画心法	True	MantraBook	An internal art inspired by the beauty of a lakeside. The back of the book records the laments of the painter.	PropsCategory418	1	re804xinfa704	xinfa704wushengshijue	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_xinfa704wushengshijue01	The Sutra of Scilent Poetry	画心法	True	MantraBook	An internal art inspired by the beauty of a lakeside. The back of the book records the laments of the painter.	PropsCategory418	2	re804xinfa704	xinfa704wushengshijue	0	None	0	Since it is your own book，find a seat to read by yourself.	According to your current cultivation，I am afraid you will be failed to understand this book.	m607010000	m607010001
book_ma010901	Iron Heart Guillotine：Vol II	段红儿四阶开放阅读	True	MartialArtsBook	Barbed Bamboo Duan Xiaolie’s early palm technique condenses Qi to the palm edge, and uses his palm as Saber to slash his opponents. This volume records the methods of <color=#FF0000>Hell Guillotine Slaughtering Demons</color>.	PropsCategory401	2	re804ma010901	ma010901	0	None	0	Condensing Qi into a blade，using the palm as a knife... hmm... it is indeed a great art. But this word "guillotine" is too much for you. Do you really think that every opponent will be the one who deserves it?	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma011801	Spirit Refining Palms：Vol I	第二年入阁式後开放	True	MartialArtsBook	Divine Wind Temple palm method, using the method of immortality cultivation, so that the practitioner's internal respiration and external nature gradually assimilate the exercise method. Volume I contain the move <color=#FF0000>Visiting the Immortals</color>.	PropsCategory401	2	re804ma011801	ma011801	0	None	0	Dao Sect exercises are indeed unique to the movement of Qi，but if you think that you can fly into immortals by practicing this palm，then I advise you to take a few fictions and go back to your room to continue your illusory fantasy.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma011901	Spirit Refining Palms：Vol II	道恒协助新生锻炼开放阅读	True	MartialArtsBook	Divine Wind Temple palm method, using the method of immortal Taoism to gradually assimilate the internal respiration and external nature of the practitioner. Volume II contain the move <color=#FF0000>Persisting the One</color>.	PropsCategory401	2	re804ma011901	ma011901	0	None	0	Dao Sect exercises are indeed unique to the movement of Qi，but if you think that you can fly into immortals by practicing this palm，then I advise you to take a few fictions and go back to your room to continue your illusory fantasy.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma012001	Spirit Refining Palms：Vol III	道恒协助新生锻炼开放阅读	True	MartialArtsBook	Divine Wind Temple palm method, using the method of immortality cultivation, so that the practitioner's internal respiration and external nature gradually assimilate the exercise method, Volume III contain the move <color=#FF0000>Refining the Void</color>.	PropsCategory401	2	re804ma012001	ma012001	0	None	0	Dao Sect exercises are indeed unique to the movement of Qi，but if you think that you can fly into immortals by practicing this palm，then I advise you to take a few fictions and go back to your room to continue your illusory fantasy.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma020901	The Flying Fox's Misty Steps：Vol II	飞雪皊狐调查异常山兽开放阅读	True	MartialArtsBook	Flying Snowy Fox became famous for her stunt, using the cold Qi to strengthen her body and legs, like a white fox in the snow, cunning and agile, attacking the enemy unexpectedly. Volume III contain the move <color=#FF0000>Pure and Fine Silk</color>.	PropsCategory402	2	re804ma020901	ma020901	0	None	0	Leaving aside that vixen，this footstep method is one of the best in Wulin. However，if you want to use it to its full power，you have to be like a...just take it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma021001	The Flying Fox's Misty Steps：Vol III	飞雪皊狐调查异常山兽开放阅读	True	MartialArtsBook	Flying Snowy Fox became famous for her stunt, using the cold Qi to strengthen her body and legs, like a white fox in the snow, cunning and agile, attacking the enemy unexpectedly. Volume III contain the move <color=#FF0000>Snow Breaks Through Springtime</color>.	PropsCategory402	2	re804ma021001	ma021001	0	None	0	Leaving aside that vixen，this footstep method is one of the best in Wulin. However，if you want to use it to its full power，you have to be like a...just take it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma021101	Sirius's Kicks：Vol I	第二年入阁式後开放	True	MartialArtsBook	One of Huo Tan's two famous Martial Arts from his days wandering the jianghu. this is also the origin of his name "Wolf's Lung Condor's Heart". Volume I contain the move <color=#FF0000>Omen From Heavens</color>.	PropsCategory402	2	re804ma021101	ma021101	0	None	0	Sirius of the Well mansion，the astrology explain this as aggression and killing...its volley and cruelty are impressive，but I don’t think the bandit leader has any research on the astrology. He just compares his legs to the scourge of the sky and uses this fierce name. That's it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma021201	Sirius's Kicks：Vol II	霍坦协助锻炼新生开放阅读	True	MartialArtsBook	One of Huo Tan's two famous Martial Arts from his days wandering the jianghu. this is also the origin of his name "Wolf's Lung Condor's Heart". Volume II contain the move <color=#FF0000>Wolf Stare Under the Moon</color>.	PropsCategory402	2	re804ma021201	ma021201	0	None	0	Sirius of the Well mansion，the astrology explain this as aggression and killing...its volley and cruelty are impressive，but I don’t think the bandit leader has any research on the astrology. He just compares his legs to the scourge of the sky and uses this fierce name. That's it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma021301	Sirius's Kicks：Vol III	霍坦协助锻炼新生开放阅读	True	MartialArtsBook	One of Huo Tan's two famous Martial Arts from his days wandering the jianghu. this is also the origin of his name "Wolf's Lung Condor's Heart". Volume III contain the move <color=#FF0000>Alcor Arrival</color>.	PropsCategory402	2	re804ma021301	ma021301	0	None	0	Sirius of the Well mansion，the astrology explain this as aggression and killing...its volley and cruelty are impressive，but I don’t think the bandit leader has any research on the astrology. He just compares his legs to the scourge of the sky and uses this fierce name. That's it.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma021701	Huaisu's Autobiography 	四艺书腿法招式	True	MartialArtsBook	Calligraphy of Huaisu in Tang Dynasty, his pen Painting is full of vigor, freedom of drawing vertical and horizontal, unrestrained and enthusiastic. Inquiry this could learn some <color=#FF0000>Martial Arts Theory about leg skills</color>.	PropsCategory409	1	re804ma021701	ma021701	0	None	0	Well... combine art with martial moves? Okay，let me see what you can get.	Humph... You only had few knowledge in both art and martial arts now. You think you can learn anything just by staring at what your predecessors have written? It's time to wake up from your daydreams.	m607010000	m60701021701
book_ma031401	Seven Paragon Swords of Plum：Vol I	第二年入阁式後开放	True	MartialArtsBook	One of Xia Pavillion Sword methods which Chu Tianbi learned from the snow and plum blossoms in his early years. The sword dances are like flowers and snows to subdue the enemy invisibly. Volume I contain the move <color=#FF0000>Snow Redeems the Cold Plum</color> .	PropsCategory403	2	re804ma031401	ma031401	0	None	0	Early plum blossoms grow tall and reflect the clear blue sky... well，he had a soft spot for plum blossoms more than ten years ago. It has a similar tune with the Whirling Snow Sword，but this is also the starting point for his gelid sword skill，Swords of the Otherworld Nostalgia.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma031501	Seven Paragon Swords of Plum：Vol II	陆凌霜事件开放阅读	True	MartialArtsBook	One of Xia Pavillion Sword methods which Chu Tianbi learned from the snow and plum blossoms in his early years. The sword dances are like flowers and snows to subdue the enemy invisibly. Volume II contain the move <color=#FF0000>Winter Punishes the Rough Ice</color>.	PropsCategory403	2	re804ma031501	ma031501	0	None	0	Early plum blossoms grow tall and reflect the clear blue sky... well，he had a soft spot for plum blossoms more than ten years ago. It has a similar tune with the Whirling Snow Sword，but this is also the starting point for his gelid sword skill，Swords of the Otherworld Nostalgia.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma032101	Dark Constellation Sword：Vol II	二年夏校穴獾寨拾获	True	MartialArtsBook	The sword techniques of Zhenwu Temple, inspired by the formations of the constellations. Volume II contain the move <color=#FF0000>Ferry of Celestial Ford</color>.	PropsCategory403	2	re804ma032101	ma032101	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Dark Constellation Sword from Zhenwu Temple? Did you get this book by some devious means? Fine，if you want to read it，then go ahead. I have nothing to do with those ox-noses' carelessness.	I do n’t know how you got this book，but with your knowledge，I believe you can't understand a single word about those positions of constellations.	m607010000	m607010001
book_ma032201	Dark Constellation Sword：Vol III	二年五老山人任务给出	True	MartialArtsBook	The sword techniques of Zhenwu Temple, inspired by the formations of the constellations. Volume III contain the move <color=#FF0000>Fallen of Celestial Money</color>.	PropsCategory403	2	re804ma032201	ma032201	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Dark Constellation Sword from Zhenwu Temple? Did you get this book by some devious means? Fine，if you want to read it，then go ahead. I have nothing to do with those ox-noses' carelessness.	I do n’t know how you got this book，but with your knowledge，I believe you can't understand a single word about those positions of constellations.	m607010000	m607010001
book_ma032301	Music Score of Hun Tuo Melody	四艺琴剑法招式	True	MartialArtsBook	The martial arts dance that is popular in the Tang Dynasty, combined with Zither sound and Sword performance to became sword dance. Inquiry this could learn some <color=#FF0000>Martial Arts Theory about Swords</color>.	PropsCategory409	1	re804ma032301	ma032301	0	None	0	Well... combine art with martial moves? Okay，let me see what you can get.	Humph... You only had few knowledge in both art and martial arts now. You think you can learn anything just by staring at what your predecessors have written? It's time to wake up from your daydreams.	m607010000	m60701032301
book_ma040501	Zen Blade of Water and Moon：Vol I	第二年入阁式後开放	True	MartialArtsBook	One of Iron Temple of Spiritual Dragon's saber methods. It was created by the founder monk that fused Mainland martial art theory with Japanese Kenjutsu. Dispelling distracting thoughts, using Saber to cut the karma. Volume I contain the move <color=#FF0000>Oceanic Moon Dredge</color>.	PropsCategory404	2	re804ma040501	ma040501	0	None	0	The flowers in the mirror and the moon in the water are all beautiful illusions that confuse people's hearts. Those monks in the Iron Temple of Spiritual Dragon have been putting themselves in war and killing for many years，and they have seen the reality of the world. No one can save people only by eating vegetarian diets and reading the sutras.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma040601	Zen Blade of Water and Moon：Vol II	擂台赛谛听侧开放阅读	True	MartialArtsBook	One of Iron Temple of Spiritual Dragon's saber methods. It was created by the founder monk that fused Mainland martial art theory with Japanese Kenjutsu. Dispelling distracting thoughts, using Saber to cut the karma. Volume II contain the move <color=#FF0000>Sharp Moon Reflection</color>.	PropsCategory404	2	re804ma040601	ma040601	0	None	0	The flowers in the mirror and the moon in the water are all beautiful illusions that confuse people's hearts. Those monks in the Iron Temple of Spiritual Dragon have been putting themselves in war and killing for many years，and they have seen the reality of the world. No one can save people only by eating vegetarian diets and reading the sutras.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma040701	Zen Blade of Water and Moon：Vol III	夏校战胜沐璎开放阅读	True	MartialArtsBook	One of Iron Temple of Spiritual Dragon's saber methods. It was created by the founder monk that fused Mainland martial art theory with Japanese Kenjutsu. Dispelling distracting thoughts, using Saber to cut the karma. Volume III contain the move <color=#FF0000>Twin Moon Slash</color>.	PropsCategory404	2	re804ma040701	ma040701	0	None	0	The flowers in the mirror and the moon in the water are all beautiful illusions that confuse people's hearts. Those monks in the Iron Temple of Spiritual Dragon have been putting themselves in war and killing for many years，and they have seen the reality of the world. No one can save people only by eating vegetarian diets and reading the sutras.	Steping on the next level? First look in the mirror and ask how much you have improved.	m607010000	m607010001
book_ma041101	Chained Flame Blade：Vol I	搧风点火	True	MartialArtsBook	One saber method of the Northern Flame Guards which is swift and fierce. The saber's moves are like a beacon fire. Volume I contain the move <color=#FF0000>Blowing Ignition</color>.	PropsCategory404	2	re804ma041101	ma041101	0	None	0	The Saber method on the battlefield has its unique advantages and naturally has its shortcomings. After all，this Saber method is for soldiers but not for those chivalrous who need to consider self-protection.	Everyone in the Northern Flame Guard practices martial arts since childhood and has a solid foundation. If you want to practice this，go back and improve your basic skills!	m607010000	m607010001
book_ma041201	Chained Flame Blade：Vol II	火海刀山	True	MartialArtsBook	One saber method of the Northern Flame Guards which is swift and fierce. The saber's moves are like a beacon fire. Volume II contain the move <color=#FF0000>Blade Mountain And Flaming Sea</color>.	PropsCategory404	2	re804ma041201	ma041201	0	None	0	The Saber method on the battlefield has its unique advantages and naturally has its shortcomings. After all，this Saber method is for soldiers but not for those chivalrous who need to consider self-protection.	Everyone in the Northern Flame Guard practices martial arts since childhood and has a solid foundation. If you want to practice this，go back and improve your basic skills!	m607010000	m607010001
book_ma041301	Chained Flame Blade：Vol III	烽火连天	True	MartialArtsBook	One saber method of the Northern Flame Guards which is swift and fierce. The saber's moves are like a beacon fire. Volume III contain the move <color=#FF0000>The Burning Sky</color>.	PropsCategory404	1	re804ma041301	ma041301	0	None	0	The Saber method on the battlefield has its unique advantages and naturally has its shortcomings. After all，this Saber method is for soldiers but not for those chivalrous who need to consider self-protection.	Everyone in the Northern Flame Guard practices martial arts since childhood and has a solid foundation. If you want to practice this，go back and improve your basic skills!	m607010000	m607010001
book_ma041401	Blade of Mountain Conqueror：Vol I	夏校穴獾寨宝库开箱	True	MartialArtsBook	Grave Badger Qiu Baihe's unique skills. Each attack secretly accumulates strength, the longer the fight goes on, the stronger the attacks will be. Volume I contain the move <color=#FF0000>River Cleave</color>.	PropsCategory404	2	re804ma041401	ma041401	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Is that old man Qiu’s Saber method? Hmph... named it with Mountain Conqueror, but the moves are all about pretty tricks and secretly accumulates thirty percent of strength behind. After all，it is just a skill to deceive the soft and fear the hard.	The key of secretly accumulates strength for each attack in this Saber method is way too far for you you to understand with your current cultivation.	m607010000	m607010001
book_ma041501	Blade of Mountain Conqueror：Vol II	恒山屍化战胜窃天坞屍人掉落	True	MartialArtsBook	Grave Badger Qiu Baihe's unique skills. Each attack secretly accumulates strength, the longer the fight goes on, the stronger the attacks will be. Volume II contain the move <color=#FF0000>Rock Crack</color>.	PropsCategory404	2	re804ma041501	ma041501	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Is that old man Qiu’s Saber method? Hmph... named it with Mountain Conqueror, but the moves are all about pretty tricks and secretly accumulates thirty percent of strength behind. After all，it is just a skill to deceive the soft and fear the hard.	The key of secretly accumulates strength for each attack in this Saber method is way too far for you you to understand with your current cultivation.	m607010000	m607010001
book_ma041601	Blade of Mountain Conqueror：Vol III	程墉线获得	True	MartialArtsBook	Grave Badger Qiu Baihe's unique skills. Each attack secretly accumulates strength, the longer the fight goes on, the stronger the attacks will be. Volume III contain the move <color=#FF0000>Overlord Blockade</color>.	PropsCategory404	2	re804ma041601	ma041601	{ "LogicalNode" : [ { "CheckPlayerTotalUpgradableProperty" : 0, 279}  ], 0} 	Total basic stats up to 280	0	Is that old man Qiu’s Saber method? Hmph... named it with Mountain Conqueror, but the moves are all about pretty tricks and secretly accumulates thirty percent of strength behind. After all，it is just a skill to deceive the soft and fear the hard.	The key of secretly accumulates strength for each attack in this Saber method is way too far for you you to understand with your current cultivation.	m607010000	m607010001
book_ma042001	Dwelling in the Fuchun Mountains	四艺画刀法招式	True	MartialArtsBook	Painted by Huang Gongwang in Yuan Dynasty. The peaks and ridges are stacked with greenery, the mountains covered with clouds, and the trees are hidden in the smokes everything in the painting is endlessly changeable. If you look at it as if you are in it, you can get <color=#FF0000>Martial Arts Theory about Sabers</color>.	PropsCategory409	1	re804ma042001	ma042001	0	None	0	Well... combine art with martial moves? Okay，let me see what you can get.	Humph... You only had few knowledge in both art and martial arts now. You think you can learn anything just by staring at what your predecessors have written? It's time to wake up from your daydreams.	m607010000	m60701042001
book_ma050501	Mighty Sun Scald Spear：Vol I	烈日征人	True	MartialArtsBook	One spear technique of the Northern Flame Guards, aggressive and unstoppable. The spear sweeps like a prairie fire to burn down every grass. Volume I records <color=#FF0000>Burning Sun Glared Down</color>.	PropsCategory405	2	re804ma050501	ma050501	0	None	0	The lion in the north border，they do have some obvious merits. The advance and retreat of battle formation，the sticking and sweeping of the single fight，all in this spear method and depends on how much you can understand.	Everyone in the Northern Flame Guard practices martial arts since childhood and has a solid foundation. If you want to practice this，go back and improve your basic skills!	m607010000	m607010001
book_ma050601	Mighty Sun Scald Spear：Vol II	飞蛾扑火	True	MartialArtsBook	One spear technique of the Northern Flame Guards, aggressive and unstoppable. The spear sweeps like a prairie fire to burn down every grass. Volume II records <color=#FF0000>Moth Chasing the Flames</color>.	PropsCategory405	2	re804ma050601	ma050601	0	None	0	The lion in the north border，they do have some obvious merits. The advance and retreat of battle formation，the sticking and sweeping of the single fight，all in this spear method and depends on how much you can understand.	Everyone in the Northern Flame Guard practices martial arts since childhood and has a solid foundation. If you want to practice this，go back and improve your basic skills!	m607010000	m607010001
book_ma050701	Mighty Sun Scald Spear：Vol III	星火燎原	True	MartialArtsBook	One spear technique of the Northern Flame Guards, aggressive and unstoppable. The spear sweeps like a prairie fire to burn down every grass. Volume III records <color=#FF0000>Starry Sparks Light the Prairie</color>.	PropsCategory405	2	re804ma050701	ma050701	0	None	0	The lion in the north border，they do have some obvious merits. The advance and retreat of battle formation，the sticking and sweeping of the single fight，all in this spear method and depends on how much you can understand.	Everyone in the Northern Flame Guard practices martial arts since childhood and has a solid foundation. If you want to practice this，go back and improve your basic skills!	m607010000	m607010001
